ECO,Opening,black,draw,white,Total,White_Win_%,Black_Win_%,Draw_%,WinRate_Variance,WinRate_StdDev
A00,Amar Opening,12,4,6,22,27.27272727272727,54.54545454545454,18.181818181818183,185.95041322314046,13.636363636363635
A00,Amar Opening: Paris Gambit,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A00,Anderssen's Opening,130,71,174,375,46.400000000000006,34.66666666666667,18.933333333333334,34.417777777777786,5.866666666666667
A00,Barnes Opening,10,6,15,31,48.38709677419355,32.25806451612903,19.35483870967742,65.03642039542146,8.06451612903226
A00,Barnes Opening: Hammerschlag,1,0,3,4,75.0,25.0,0.0,625.0,25.0
A00,Clemenz Opening,42,19,40,101,39.603960396039604,41.584158415841586,18.81188118811881,0.9802960494069226,0.990099009900991
A00,Creepy Crawly Formation: Classical Defense,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A00,Global Opening,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A00,Grob Opening,32,8,33,73,45.20547945205479,43.83561643835616,10.95890410958904,0.46913116907487096,0.6849315068493134
A00,Grob Opening: Double Grob,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A00,"Grob Opening: Double Grob, Coca-Cola Gambit",0,0,1,1,100.0,0.0,0.0,2500.0,50.0
A00,Grob Opening: Grob Gambit,3,3,3,9,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0
A00,Grob Opening: Grob Gambit Declined,1,3,1,5,20.0,20.0,60.0,0.0,0.0
A00,"Grob Opening: Grob Gambit, Fritz Gambit",14,4,16,34,47.05882352941176,41.17647058823529,11.76470588235294,8.650519031141869,2.9411764705882355
A00,Grob Opening: Keene Defense,4,3,2,9,22.22222222222222,44.44444444444444,33.33333333333333,123.45679012345678,11.11111111111111
A00,"Grob Opening: Keene Defense, Main Line",0,1,0,1,0.0,0.0,100.0,0.0,0.0
A00,Grob Opening: Spike Attack,2,2,3,7,42.857142857142854,28.57142857142857,28.57142857142857,51.0204081632653,7.142857142857142
A00,"Grob Opening: Spike, Hurst Attack",4,0,4,8,50.0,50.0,0.0,0.0,0.0
A00,Hungarian Opening,304,181,304,789,38.5297845373891,38.5297845373891,22.9404309252218,0.0,0.0
A00,Hungarian Opening: Catalan Formation,9,6,14,29,48.275862068965516,31.03448275862069,20.689655172413794,74.31629013079666,8.620689655172413
A00,Hungarian Opening: Dutch Defense,10,4,6,20,30.0,50.0,20.0,100.0,10.0
A00,Hungarian Opening: Indian Defense,113,93,165,371,44.474393530997304,30.45822102425876,25.067385444743934,49.11327293466337,7.008086253369273
A00,Hungarian Opening: Reversed Alekhine,2,1,6,9,66.66666666666666,22.22222222222222,11.11111111111111,493.82716049382697,22.222222222222218
A00,Hungarian Opening: Reversed Modern Defense,4,5,5,14,35.714285714285715,28.57142857142857,35.714285714285715,12.755102040816336,3.571428571428573
A00,Hungarian Opening: Reversed Norwegian Defense,1,1,0,2,0.0,50.0,50.0,625.0,25.0
A00,Hungarian Opening: Sicilian Invitation,35,30,38,103,36.89320388349515,33.980582524271846,29.126213592233007,2.120840795550948,1.4563106796116507
A00,Hungarian Opening: Slav Formation,23,16,20,59,33.89830508474576,38.983050847457626,27.11864406779661,6.4636598678540755,2.5423728813559343
A00,Hungarian Opening: Symmetrical Variation,48,39,63,150,42.0,32.0,26.0,25.0,5.0
A00,Hungarian Opening: Van Kuijk Gambit,1,1,0,2,0.0,50.0,50.0,625.0,25.0
A00,Kádas Opening,22,5,23,50,46.0,44.0,10.0,1.0,1.0
A00,Kádas Opening: Koola-Koola Variation,0,1,1,2,50.0,0.0,50.0,625.0,25.0
A00,Lasker Simul Special,4,0,1,5,20.0,80.0,0.0,900.0,30.0
A00,Mieses Opening,106,44,80,230,34.78260869565217,46.08695652173913,19.130434782608695,31.94706994328925,5.65217391304348
A00,Mieses Opening: Myers Spike Attack,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A00,Mieses Opening: Reversed Rat,28,10,15,53,28.30188679245283,52.83018867924528,18.867924528301888,150.40939836240653,12.264150943396226
A00,Polish Opening,169,93,143,405,35.30864197530864,41.7283950617284,22.962962962962962,10.30330742264901,3.20987654320988
A00,Polish Opening: Baltic Defense,11,11,9,31,29.03225806451613,35.483870967741936,35.483870967741936,10.405827263267422,3.225806451612902
A00,Polish Opening: Birmingham Gambit,0,0,1,1,100.0,0.0,0.0,2500.0,50.0
A00,Polish Opening: Bugayev Advance Variation,1,3,4,8,50.0,12.5,37.5,351.5625,18.75
A00,Polish Opening: Bugayev Attack,15,7,21,43,48.837209302325576,34.883720930232556,16.27906976744186,48.67495943753378,6.97674418604651
A00,Polish Opening: Czech Defense,32,13,25,70,35.714285714285715,45.714285714285715,18.571428571428573,25.0,5.0
A00,Polish Opening: Dutch Defense,5,0,5,10,50.0,50.0,0.0,0.0,0.0
A00,Polish Opening: German Defense,5,3,3,11,27.27272727272727,45.45454545454545,27.27272727272727,82.64462809917356,9.090909090909092
A00,Polish Opening: King's Indian Variation,9,9,13,31,41.935483870967744,29.03225806451613,29.03225806451613,41.62330905306972,6.451612903225806
A00,"Polish Opening: King's Indian Variation, Schiffler Attack",1,0,2,3,66.66666666666666,33.33333333333333,0.0,277.7777777777777,16.666666666666664
A00,"Polish Opening: King's Indian Variation, Sokolsky Attack",12,8,12,32,37.5,37.5,25.0,0.0,0.0
A00,Polish Opening: Outflank Variation,14,9,13,36,36.11111111111111,38.88888888888889,25.0,1.9290123456790234,1.3888888888888928
A00,Polish Opening: Queen's Indian Variation,1,0,1,2,50.0,50.0,0.0,0.0,0.0
A00,Polish Opening: Queenside Defense,2,0,0,2,0.0,100.0,0.0,2500.0,50.0
A00,Polish Opening: Rooks Swap Line,1,0,0,1,0.0,100.0,0.0,2500.0,50.0
A00,Polish Opening: Schiffler-Sokolsky Variation,7,6,6,19,31.57894736842105,36.84210526315789,31.57894736842105,6.925207756232679,2.6315789473684195
A00,Polish Opening: Symmetrical Variation,0,0,1,1,100.0,0.0,0.0,2500.0,50.0
A00,Saragossa Opening,77,33,55,165,33.33333333333333,46.666666666666664,20.0,44.44444444444446,6.666666666666668
A00,Sodium Attack,5,2,6,13,46.15384615384615,38.46153846153847,15.384615384615385,14.792899408284,3.846153846153843
A00,Valencia Opening,2,0,1,3,33.33333333333333,66.66666666666666,0.0,277.7777777777777,16.666666666666664
A00,Van Geet Opening,131,86,171,388,44.072164948453604,33.76288659793815,22.164948453608247,26.570305027101668,5.154639175257728
A00,Van Geet Opening: Battambang Variation,0,1,3,4,75.0,0.0,25.0,1406.25,37.5
A00,Van Geet Opening: Billockus-Johansen Gambit,0,1,0,1,0.0,0.0,100.0,0.0,0.0
A00,Van Geet Opening: Dougherty Gambit,1,0,1,2,50.0,50.0,0.0,0.0,0.0
A00,Van Geet Opening: Dunst-Perrenet Gambit,4,2,4,10,40.0,40.0,20.0,0.0,0.0
A00,Van Geet Opening: Hector Gambit,0,1,0,1,0.0,0.0,100.0,0.0,0.0
